Company,Commercial Registered Agent,Registered Agent,Owners
XDATAK LLC,AAA NORTH DAKOTA REGISTERED AGENT LLC,,
"XIPHOS TECHNICAL SERVICES, LLC",,,
XCHANGE TELECOM LLC,"INCORP SERVICES, INC.",,
XENEX DISINFECTION SERVICES INC.,"INCORP SERVICES, INC.",,
XCELL DRIVING SCHOOL LLP,,,
"XCHANGE BENEFITS, LLC","3H AGENT SERVICES, INC.",,
"XCEL PROTECTIVE SERVICES, INC.",,,
XCEL NDT LLC,,,
"XCL MARKETING, LLC",C T CORPORATION SYSTEM,,
XCEL TRUCKING LLC,,,
"XCEL ERECTORS, INC.",C T CORPORATION SYSTEM,,
"XCL ASSETCO, LLC",C T CORPORATION SYSTEM,,
XCEL ENERGY INC.,CORPORATION SERVICE COMPANY,,
"XCS PROS, LLC",,,
XCEL HOLDINGS LLC,,,
"XCL RESOURCES, LLC",C T CORPORATION SYSTEM,,
XCEL AUTOMATION & ELECTRIC LLC,,,
XCEL HOLDINGS,,,TANNER COLLETTE
XCEL AGRONOMY LLC,,,
XCEL AUTOMATION,,,XCEL AUTOMATION & ELECTRIC LLC
XCS PROS,,,"XCS PROS, LLC"
XCEL ENERGY,,,NORTHERN STATES POWER COMPANY
XCEL ENERGY SERVICES INC.,CORPORATION SERVICE COMPANY,,
"XB INVESTMENTS, LLC",,,
"XCALIBER INTERNATIONAL LTD., L.L.C.",CORPORATION SERVICE COMPANY,,
X ELECTRIC,,,"XTREME ELECTRICAL SERVICES, INC."
"XCAST LABS, INC.","INCORP SERVICES, INC.",,
"VOXTUR SERVICES, LLC",COGENCY GLOBAL INC.,,
"VOXTUR APPRAISAL SERVICES, LLC",COGENCY GLOBAL INC.,,
"RXO LAST MILE, INC.","REGISTERED AGENT SOLUTIONS, INC.",,
"X DIAMOND PARTNERS, LLP",,,
RINGSQUARED TELECOM LLC,CORPORATION SERVICE COMPANY,,
"RXO CORPORATE SOLUTIONS, LLC","REGISTERED AGENT SOLUTIONS, INC.",,
MCKESSON MEDICAL-SURGICAL MEDIMART INC.,CORPORATION SERVICE COMPANY,,
"MILLER UNDERGROUND, LLC",,,
X FOODS,,,OECH FOODS LLC
"CONTRACT FREIGHTERS, INC.",CORPORATION SERVICE COMPANY,,
"CONDUENT STATE HEALTHCARE, LLC",CORPORATION SERVICE COMPANY,,
"GXO LOGISTICS SUPPLY CHAIN, INC.","REGISTERED AGENT SOLUTIONS, INC.",,
"GXO LOGISTICS WORLDWIDE, LLC","REGISTERED AGENT SOLUTIONS, INC.",,
XCEL AG SOLUTIONS LLC,,,
"CONDUENT HUMAN RESOURCE SERVICES, LLC",CORPORATION SERVICE COMPANY,,
"CONDUENT STATE & LOCAL SOLUTIONS, INC.",CORPORATION SERVICE COMPANY,,
"CONDUENT GOVERNMENT SYSTEMS, LLC",CORPORATION SERVICE COMPANY,,
XCEL AVIATION,,,TANNER S COLLETTE
"XCED AVIATION SERVICES, LLC",C T CORPORATION SYSTEM,,
"CONDUENT BUSINESS SERVICES, LLC",CORPORATION SERVICE COMPANY,,
"ATOS IT OUTSOURCING SERVICES, LLC",CORPORATION SERVICE COMPANY,,
"CONDUENT HR SERVICES, LLC",CORPORATION SERVICE COMPANY,,
XCEL AVIATION LLC,,,
CIRRATA PARTNERS INSURANCE AGENCY LLC,"3H AGENT SERVICES, INC.",,
XDP DIGITAL LLC,,,
"ATOS HEALTHCARE SERVICES, LLC",CORPORATION SERVICE COMPANY,,
AKITA DRILLING USA CORP.,C T CORPORATION SYSTEM,,
AKITA EQUIPMENT CORP.,C T CORPORATION SYSTEM,,
"COMCAST BROADBAND SECURITY, LLC (DBA XFINITY HOME)",C T CORPORATION SYSTEM,,
