Company,Commercial Registered Agent,Registered Agent,Owners
"XPRESSDOCS PARTNERS, LTD., A TEXAS LP",,,"XPRESSDOCS PARTNERS, LTD."
"X-TREME FITNESS, LLC",,,
XPRESS BLASTING LLC,,,
XPRESS MONEY,,,MONEYDART GLOBAL SERVICES INC.
"XPRESSDOCS PARTNERS, LTD. (DBA XPRESSDOCS PARTNERS, LTD., A TEXAS LP)",CORPORATION SERVICE COMPANY,,
"XPO LOGISTICS FREIGHT, INC.","REGISTERED AGENT SOLUTIONS, INC.",,
XQUISITE CONSTRUCTION LLC,,,
XPON INTERNATIONAL LLC,LEGALINC CORPORATE SERVICES INC.,,
XPI LLC,,,
XPERT DRYWALL LLC,"NORTHWEST REGISTERED AGENT SERVICE, INC.",,
"XPERIENCE TITLE, LLC",COGENCY GLOBAL INC.,,
XPERIENCE INVESTMENTS LLC,,,
"XPERT XTERIORS, LLC",,,
XPERT ENTERPRISES LLC,,,
XPRESS PAINTING SOLUTIONS LLC,,,
"XPRESSDOCS GP, LLC",CORPORATION SERVICE COMPANY,,
XPERIENCE BARBERS LLC,,,
XPERIENCE BARBERS,,,DELSON SAINTAL
XOXO L.L.C.,REGISTERED AGENTS INC,,
"XOXO, PHOENIIX LLC",,,
XOME REALTY SERVICES LLC,CORPORATION SERVICE COMPANY,,
"XR SOLUTIONS, LLC","MONTGOMERY & PENDER, P.C.",,
XP SYSTEMS CORPORATION,CORPORATION SERVICE COMPANY,,
XO SKINCARE LLC,,,
XOME FIELD SERVICES LLC,CORPORATION SERVICE COMPANY,,
XO BEAUTY,,,ASHLEY MACK
XOME VALUATIONS,,,"VOXTUR APPRAISAL SERVICES, LLC"
XMODN SECURITY LLC,REGISTERED AGENTS INC,,
XOME INC.,CORPORATION SERVICE COMPANY,,
XN FINANCIAL SERVICES INC.,"REGISTERED AGENT SOLUTIONS, INC.",,
XPERIENCE HEALTH & FITNESS,,,XPERIENCE HEALTH & FITNESS LLC
XLT TRANSPORT,,,"X-RAY LIMA TANGO, LLC"
XLT TAXI,,,"X-RAY LIMA TANGO, LLC"
XM42,,,ROUGHRIDER ARMS LLC
XPERIENCE HEALTH & FITNESS LLC,,,
XLXF LLC,,,
"XL TRANSPORT, LLC",,,
"XLHOME, P.C. (DBA HOME HEALTH ASSESSMENTS OF NORTH DAKOTA, P.C.)",C T CORPORATION SYSTEM,,
XLT PACK AND SHIP,,,"X-RAY LIMA TANGO, LLC"
XS AUTOMATION,,,JEROME M HINDS
XL FARMS,,,
XKULSIV KICKZ LLC,"USCA, INC.",,
XIULING INC,,,
"XM ACRES, LLP",,,
"XL INDUSTRIAL SERVICES, INC.",CORPORATION SERVICE COMPANY,,
XPONET (DBA XPONET CORPORATION),"INCORP SERVICES, INC.",,
"XILAJU, LLC",,,
"XH, LLC",CORPORATION SERVICE COMPANY,,
"XL HOMES, CORP.",,,
XL LOGISTICS LLC,,,
"XIE XIE, LLC",,,
XFINITY HOME,,,"COMCAST BROADBAND SECURITY, LLC"
XEROX FINANCIAL SERVICES LLC,CORPORATION SERVICE COMPANY,,
"XLT MANAGEMENT SERVICES, INC.",C T CORPORATION SYSTEM,,
"XIGENT SOLUTIONS, LLC",C T CORPORATION SYSTEM,,
XEROX CORPORATION,"THE PRENTICE-HALL CORPORATION SYSTEM, INC.",,
"XETA TECHNOLOGIES, INC.","REGISTERED AGENT SOLUTIONS, INC.",,
"XERIS PHARMACEUTICALS, INC.",C T CORPORATION SYSTEM,,
"XGP PROPERTIES, LLC",,,
"XENITH, LLC",UNITED AGENT GROUP INC.,,
XECARE LLC,"CAPITOL CORPORATE SERVICES, INC.",,
"XO COMMUNICATIONS SERVICES, LLC",C T CORPORATION SYSTEM,,
XERCOR INSURANCE SERVICES LLC,COGENCY GLOBAL INC.,,
XE USA,,,"CONTINENTAL EXCHANGE SOLUTIONS, INC."
"XIPHOS TECHNICAL SERVICES, LLC",,,
XEBEC SYSTEMS USA LLC,"INCORP SERVICES, INC.",,
"XCS PROS, LLC",,,
"XEBU, LLC",,,
XENEX DISINFECTION SERVICES INC.,"INCORP SERVICES, INC.",,
XDP DIGITAL LLC,,,
XCLUSIVE APPAREL,,,SHOES 'N' SUCH LLP
"XCONNECT, LLC","INCORP SERVICES, INC.",,
"XCL ROYALTYCO, LLC",C T CORPORATION SYSTEM,,
"XCLOUD, LLC","REGISTERED AGENT SOLUTIONS, INC.",,
XCMG AMERICA FINANCIAL LLC,,,
"XCL RESOURCES, LLC",C T CORPORATION SYSTEM,,
XCHANGE TELECOM LLC,"INCORP SERVICES, INC.",,
"XCL ASSETCO, LLC",C T CORPORATION SYSTEM,,
XCELL DRIVING SCHOOL LLP,,,
"XCL MARKETING, LLC",C T CORPORATION SYSTEM,,
XCS PROS,,,"XCS PROS, LLC"
XCEL NDT LLC,,,
XCEL TRUCKING LLC,,,
"XCHANGE BENEFITS, LLC","3H AGENT SERVICES, INC.",,
"XCEL ERECTORS, INC.",C T CORPORATION SYSTEM,,
XCEL HOLDINGS LLC,,,
"XCEL PROTECTIVE SERVICES, INC.",,,
XCEL ENERGY,,,NORTHERN STATES POWER COMPANY
XCEL AVIATION LLC,,,
XDATAK LLC,AAA NORTH DAKOTA REGISTERED AGENT LLC,,
XCEL AUTOMATION & ELECTRIC LLC,,,
XCEL HOLDINGS,,,TANNER COLLETTE
XCEL ENERGY SERVICES INC.,CORPORATION SERVICE COMPANY,,
XCEL AG SOLUTIONS LLC,,,
"XCED AVIATION SERVICES, LLC",C T CORPORATION SYSTEM,,
XCEL AUTOMATION,,,XCEL AUTOMATION & ELECTRIC LLC
"XCALIBER INTERNATIONAL LTD., L.L.C.",CORPORATION SERVICE COMPANY,,
XCEL ENERGY INC.,CORPORATION SERVICE COMPANY,,
"XENCOM ENERGY MANAGEMENT, LLC","REGISTERED AGENT SOLUTIONS, INC.",,
"XCAST LABS, INC.","INCORP SERVICES, INC.",,
XANDER PRODUCTS & SERVICE LLC,,,
XAP CORPORATION,CORPORATION SERVICE COMPANY,,
XAPIC STUDIOS,,,PATRICIA A ROGALLA
"XANADU, LLC",,,
XACTLYONE FOUNDATION,"NORTHWEST REGISTERED AGENT SERVICE, INC.",,
XCEL AGRONOMY LLC,,,
"X4I LIMITED (DBA X4I LIMITED, LLC)",CORPORATION SERVICE COMPANY,,
XCEL AVIATION,,,TANNER S COLLETTE
"X2COMM, INC.","NATIONAL REGISTERED AGENTS, INC.",,
"XANADU PRODUCTS, L.L.C.",,,
"XACTUS, LLC",CORPORATION SERVICE COMPANY,,
"X S BROKERS INSURANCE AGENCY, INC.","REGISTERED AGENT SOLUTIONS, INC.",,
X GOLF MINOT,,,"ELITE GOLF, LLC"
"XELIX DISTRIBUTION, INC.",C T CORPORATION SYSTEM,,
X REALTY LLC,,,
X REPUBLIC SALON LLC,,,
"X DIAMOND PARTNERS, LLP",,,
"X-GEN PHARMACEUTICALS, INC.","INCORP SERVICES, INC.",,
X FOODS,,,OECH FOODS LLC
"XB INVESTMENTS, LLC",,,
"RXO CORPORATE SOLUTIONS, LLC","REGISTERED AGENT SOLUTIONS, INC.",,
"RXO LAST MILE, INC.","REGISTERED AGENT SOLUTIONS, INC.",,
X GOLF BISMARCK,,,"ELITE GOLF 2, LLC"
X ELECTRIC,,,"XTREME ELECTRICAL SERVICES, INC."
"VOXTUR APPRAISAL SERVICES, LLC",COGENCY GLOBAL INC.,,
AKITA DRILLING USA CORP.,C T CORPORATION SYSTEM,,
"VOXTUR SERVICES, LLC",COGENCY GLOBAL INC.,,
"X4I LIMITED, LLC",,,X4I LIMITED
RINGSQUARED TELECOM LLC,CORPORATION SERVICE COMPANY,,
X2VA LLC,,,
